Area_ID,Area,Block_ID,Collection method,Area type,HE image,NA_ID,Completion date,People in charge,Notes,Assigned projects
2265 Normal,2265,,,Normal,,,,,,
2266 Nevus,2266,,,Nevus,,,,,,
2267 Mel,2267,,,Mel,,,,,,
2336 Cell Line,2336,,,Cell Line,,Xu-1,,Xu Chen,,Melanoma Cell Line
2338 Cell Line,2338,,,Cell Line,,Xu-3,,Xu Chen,,Melanoma Cell Line
2337 Cell Line,2337,,,Cell Line,,Xu-2,,Xu Chen,,Melanoma Cell Line
2339 Cell Line,2339,,,Cell Line,,Xu-4,,Xu Chen,,Melanoma Cell Line
2341 Cell Line,2341,,,Cell Line,,Xu-6,,Xu Chen,,Melanoma Cell Line
2340 Cell Line,2340,,,Cell Line,,Xu-5,,Xu Chen,,Melanoma Cell Line
2342 Cell Line,2342,,,Cell Line,,Xu-7,,Xu Chen,,Melanoma Cell Line
2343 Cell Line,2343,,,Cell Line,,Xu-8,,Xu Chen,,Melanoma Cell Line
2345 Cell Line,2345,,,Cell Line,,Xu-10,,Xu Chen,,Melanoma Cell Line
2344 Cell Line,2344,,,Cell Line,,Xu-9,,Xu Chen,,Melanoma Cell Line
2346 Cell Line,2346,,,Cell Line,,Xu-11,,Xu Chen,,Melanoma Cell Line
2347 Cell Line,2347,,,Cell Line,,Xu-12,,Xu Chen,,Melanoma Cell Line
2348 Cell Line,2348,,,Cell Line,,Xu-13,,Xu Chen,,Melanoma Cell Line
2349 Cell Line,2349,,,Cell Line,,Xu-14,,Xu Chen,,Melanoma Cell Line
2350 Cell Line,2350,,,Cell Line,,Xu-015,,Xu Chen,,Melanoma Cell Line
2351 Cell Line,2351,,,Cell Line,,Xu-016,,Xu Chen,,Melanoma Cell Line
2352 Cell Line,2352,,,Cell Line,,Xu-017,,Xu Chen,,Melanoma Cell Line
2356 Cell Line,2356,,,Cell Line,,Xu-021,,Xu Chen,,Melanoma Cell Line
2354 Cell Line,2354,,,Cell Line,,Xu-019,,Xu Chen,,Melanoma Cell Line
2355 Cell Line,2355,,,Cell Line,,Xu-020,,Xu Chen,,Melanoma Cell Line
2353 Cell Line,2353,,,Cell Line,,Xu-018,,Xu Chen,,Melanoma Cell Line
2357 Cell Line,2357,,,Cell Line,,Xu-022,,Xu Chen,,Melanoma Cell Line
2358 Cell Line,2358,,,Cell Line,,Xu-023,,Xu Chen,,Melanoma Cell Line
2359 Cell Line,2359,,,Cell Line,,Xu-024,,Xu Chen,,Melanoma Cell Line
2360 Cell Line,2360,,,Cell Line,,Xu-025,,Xu Chen,,Melanoma Cell Line
2361 Cell Line,2361,,,Cell Line,,Xu-026,,Xu Chen,,Melanoma Cell Line
2363 Cell Line,2363,,,Cell Line,,Xu-028,,Xu Chen,,Melanoma Cell Line
2362 Cell Line,2362,,,Cell Line,,Xu-027,,Xu Chen,,Melanoma Cell Line
2364 Cell Line,2364,,,Cell Line,,Xu-029,,Xu Chen,,Melanoma Cell Line
2366 Cell Line,2366,,,Cell Line,,Xu-031,,Xu Chen,,Melanoma Cell Line
