NA_ID,Area ID,NA_TYPE,Date extracted,Method,Qubit Concentration (ng/ul),Volumn (ul),Amount (ng),Re-extraction amount,Total extracted NA amount (ng),NA sheared/used (ng),Shearing volume DNA input (ul),Volume of TE buffer (ul)  for shearing,SL_ID,Notes,Assigned Projects
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
,,,,,,,0.0,,0.0,,NaN,NaN,,,
1_NA,2400 Melanocytic Nevus,DNA,4/11/2012,,10.24,50,512.0,,512.0,512.0,50,0,1,,2010-2017
2_NA,2401 Melanocytic Nevus,DNA,4/11/2012,,4.20,50,210.0,,210.0,210.0,50,0,2,,2010-2017
6_NA,2402 SCC,DNA,4/11/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,6,,2010-2017
7_NA,2403 Melanocytic Nevus,DNA,4/11/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,7,,2010-2017
11_NA,2404 BCC,DNA,4/11/2012,,9.60,50,480.0,,480.0,480.0,50,0,11,,2010-2017
12_M_NA,,,,,,,0.0,,0.0,75.7,Infinity,-Infinity,12_M,,2010-2017
13_NA,2405 ,DNA,4/11/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,13,,2010-2017
15_NA,2406 Melanocytic Nevus,DNA,4/11/2012,,6.60,50,330.0,,330.0,330.0,50,0,15,,2010-2017
20_NA,2407 Cellular Dermatofibroma ,DNA,4/24/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,20,,2010-2017
21-1_NA,,DNA,8/23/2012,,1.38,100,138.0,,138.0,100.0,72,-22,21-1,,2010-2017
21-2_NA,,DNA,8/23/2012,,0.94,100,94.0,,94.0,100.0,106,-56,21-2,,2010-2017
21-3_NA,,DNA,8/23/2012,,1.35,100,135.0,,135.0,100.0,74,-24,21-3,,2010-2017
21-4_NA,,DNA,8/23/2012,,1.02,100,102.0,,102.0,100.0,98,-48,21-4,,2010-2017
21-5_NA,2762 Normal,DNA,3/18/2013,Qiagen FFPE DNA columns,1.19,200,238.0,,238.0,15.6,13,37,"Ivanka_21_5_Norm,Ivanka_21_5_Norm,Ivanka_21_5_Norm",,2010-2017
22_IS_NA,,,,,,,0.0,,0.0,11.4,Infinity,-Infinity,22_IS,,2010-2017
22_Melanoma_NA,,,,,,,0.0,,0.0,39.6,Infinity,-Infinity,22_Melanoma,,2010-2017
22_Nevus_NA,,,,,,,0.0,,0.0,42.7,Infinity,-Infinity,22_Nevus,,2010-2017
22_Normal_NA,,,,,,,0.0,,0.0,100.0,Infinity,-Infinity,22_Normal,,2010-2017
22-44183B-DNA,2476 Mel,DNA,7/24/2023,DNAstorm FFPE,0.71,190,134.9,,134.9,,0,50,,,
22-44183B-RNA,2476 Mel,RNA,7/24/2023,RNAstorm FFPE,17.50,91,1592.5,,1592.5,,0,50,IYEH-09,,
22-104389A2-DNA,2456 Tumor,DNA,5/19/2023,Qiagen AllPrep DNA/RNA Mini Kit,6.20,160,992.0,582.00,1574.0,,0,50,2456_Tumor,,Clinical Cases
22-104389A2-RNA,2456 Tumor,RNA,5/19/2023,Qiagen AllPrep DNA/RNA Mini Kit,4.28,40,171.2,156.00,327.2,200.0,47,3,"IYEH-01,IYEH-07",-80 BOX3,Clinical Cases
22-104389A4-DNA,,DNA,6/5/2023,Qiagen AllPrep DNA/RNA Mini Kit,0.00,200,0.0,0.00,0.0,,NaN,NaN,,,Clinical Cases
22-104389A4-RNA,,RNA,6/5/2023,Qiagen AllPrep DNA/RNA Mini Kit,0.00,46,0.0,0.00,0.0,,NaN,NaN,,,Clinical Cases
22-104389C-DNA,2457 Tumor,DNA,5/19/2023,Qiagen AllPrep DNA/RNA Mini Kit,0.74,160,118.4,76.00,194.4,,0,50,2457_Tumor,,Clinical Cases
22-104389C-RNA,2457 Tumor,RNA,5/19/2023,Qiagen AllPrep DNA/RNA Mini Kit,2.53,40,101.2,123.00,224.2,200.0,79,-29,"IYEH-02,IYEH-08",-80 BOX3,Clinical Cases
22-125373-DNA,2247 ,DNA,2/8/2023,DNAstorm FFPE,12.20,352,4294.4,,4294.4,,0,50,,,Clinical Cases
22-125373-RNA,2247 ,RNA,2/8/2023,RNAstorm FFPE,34.80,160,5568.0,,5568.0,100.0,3,47,IYEH-03,-80 BOX3,Clinical Cases
23_NA,2408 SCC,DNA,4/24/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,23,,2010-2017
24_NA,"""2409 SCC, in situ""",DNA,4/24/2012,,8.00,50,400.0,,400.0,400.0,50,0,24,,2010-2017
24-1_NA,,DNA,8/23/2012,,38.33,100,3833.0,,3833.0,100.0,3,47,24-1,,2010-2017
24-2_NA,,DNA,8/23/2012,,11.27,100,1127.0,,1127.0,100.0,9,41,24-2,,2010-2017
24-3_NA,,DNA,8/23/2012,,1.89,100,189.0,,189.0,100.0,53,-3,24-3,,2010-2017
24-4_NA,,DNA,8/23/2012,,2.47,100,247.0,,247.0,100.0,40,10,24-4,,2010-2017
24-5_NA,"2150 Normal,2763 Normal",DNA,3/21/2013,Qiagen FFPE DNA columns,0.84,200,168.0,,168.0,12.0,14,36,"Ivanka_24_5_Norm,Ivanka_24_5_Norm,Ivanka_24_5_Norm",,2010-2017
26_NA,2764 Tumor,DNA,4/24/2012,Qiagen FFPE DNA columns,2.58,50,129.0,,129.0,,0,50,26,,2010-2017
27_NA,2410 Melanocytic Nevus,DNA,4/24/2012,,11.08,50,554.0,,554.0,554.0,50,0,27,,2010-2017
28_NA,2411 SCC,DNA,4/24/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,28,,2010-2017
28-1_NA,,DNA,8/23/2012,,3.55,100,355.0,,355.0,100.0,28,22,28-1,,2010-2017
28-2_NA,,DNA,8/23/2012,,5.98,100,598.0,,598.0,100.0,17,33,28-2,,2010-2017
28-3_NA,,DNA,8/23/2012,,0.31,100,30.8,,30.8,37.0,120,-70,28-3,,2010-2017
28-4_NA,,DNA,8/23/2012,,1.17,100,117.0,,117.0,100.0,85,-35,28-4,,2010-2017
28-5_NA,,DNA,8/23/2012,,1.03,100,103.0,,103.0,100.0,97,-47,28-5,,2010-2017
29_NA,"""2412 SCC, in situ""",DNA,4/24/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,29,,2010-2017
31_NA,2413 Dermatofibroma,DNA,4/24/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,31,,2010-2017
35_M_NA,,,,,,,0.0,,0.0,100.0,Infinity,-Infinity,35_M,,2010-2017
35_NA,2414 Normal,DNA,4/25/2012,,7.42,50,371.0,,371.0,371.0,50,0,35,,2010-2017
36_NA,2415 Tumor,DNA,4/25/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,36,,2010-2017
38_NA,2416 Tumor,DNA,4/25/2012,,3.14,50,157.0,,157.0,157.0,50,0,38,,2010-2017
39_NA,2417 Normal,DNA,4/25/2012,,9.94,50,497.0,,497.0,497.0,50,0,39,,2010-2017
40_NA,2418 Tumor,DNA,4/25/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,40,,2010-2017
41_NA,2419 Normal,DNA,4/25/2012,,20.00,50,1000.0,,1000.0,1000.0,50,0,41,,2010-2017
43_NA,2420 Buffy Coat DNA,DNA,,,20.00,50,1000.0,,1000.0,1000.0,50,0,43,,2010-2017
43_NA,2424 SCC,DNA,,,20.00,50,1000.0,,1000.0,1000.0,50,0,47,,2010-2017
44_NA,2421 SCC,DNA,,,15.00,50,750.0,,750.0,750.0,50,0,44,,2010-2017
45_NA,2422 SCC,DNA,,,10.00,50,500.0,,500.0,500.0,50,0,45,,2010-2017
46_NA,2423 SCC,DNA,,,5.00,50,250.0,,250.0,250.0,50,0,46,,2010-2017
47_NA,2425 Mel,DNA,,,38.30,65,2489.5,,2489.5,1000.0,26,24,48,,2010-2017
48_NA,2426 Melanocytic Nevus,DNA,,,20.10,65,1306.5,,1306.5,1000.0,50,0,49,,2010-2017
49_M_NA,,,,,,,0.0,,0.0,100.0,Infinity,-Infinity,49_M,,2010-2017
49_NA,2427 Melanocytic Nevus,DNA,7/31/2015,,35.80,65,2327.0,,2327.0,444.0,12,38,51,,2010-2017
51_NA,2428 Melanocytic Nevus,DNA,7/31/2015,,6.83,65,444.0,,444.0,773.0,113,-63,55,,2010-2017
55_NA,2429 Keratosis,DNA,7/31/2015,,11.90,65,773.5,,773.5,670.0,56,-6,56,,2010-2017
56_NA,2430 BCC,DNA,7/31/2015,,10.30,65,669.5,,669.5,1000.0,97,-47,58,,2010-2017
58_NA,2431 Melanocytic Nevus,DNA,7/31/2015,,48.70,65,3165.5,,3165.5,1000.0,21,29,59,,2010-2017
59_NA,2432 Melanocytic Nevus,DNA,7/31/2015,,39.00,65,2535.0,,2535.0,1000.0,26,24,60,,2010-2017
60_NA,"""2433 Pilomatricoma, cystic""",DNA,7/31/2015,,85.20,65,5538.0,,5538.0,1000.0,12,38,61,,2010-2017
61_NA,2434 BCC,DNA,7/31/2015,,41.60,65,2704.0,,2704.0,278.0,7,43,62,,2010-2017
62_NA,2435 Leiomyoma,DNA,7/31/2015,,4.28,65,278.2,,278.2,370.0,86,-36,64,,2010-2017
64_NA,2436 Melanocytic Nevus,DNA,7/31/2015,,5.68,65,369.2,,369.2,1000.0,176,-126,65,,2010-2017
65_NA,2437 Melanocytic Nevus,DNA,7/31/2015,,44.50,65,2892.5,,2892.5,1000.0,22,28,66,,2010-2017
66_NA,2438 Melanocytic Nevus,DNA,7/31/2015,,20.40,65,1326.0,,1326.0,208.0,10,40,67,,2010-2017
67_NA,2439 Melanocytic Nevus,DNA,7/31/2015,,3.21,65,208.7,,208.7,1000.0,312,-262,68,,2010-2017
68_NA,2440 Melanocytic Nevus,DNA,7/31/2015,,36.50,65,2372.5,,2372.5,303.0,8,42,70,,2010-2017
70_NA,2441 Melanocytic Nevus,DNA,7/31/2015,,4.66,65,302.9,,302.9,981.0,211,-161,71,,2010-2017
71_NA,2442 SCC,DNA,7/31/2015,,15.10,65,981.5,,981.5,604.0,40,10,72,,2010-2017
72_NA,2430 BCC,DNA,7/31/2015,,9.29,65,603.8,,603.8,700.0,75,-25,73,,2010-2017
73_NA,2430 BCC,DNA,7/31/2015,,10.00,50,500.0,,500.0,500.0,50,0,74,,2010-2017
74_NA,2430 BCC,DNA,7/31/2015,,5.00,50,250.0,,250.0,250.0,50,0,75,,2010-2017
75_NA,2430 BCC,DNA,7/31/2015,,2.00,50,100.0,,100.0,100.0,50,0,76,,2010-2017
76_NA,2835 Normal,DNA,7/22/2014,,4.83,50,241.5,,241.5,250.0,52,-2,JBP-4-Norm,,2010-2017
144 Imat B15,2463 Melanoma Cell Line,DNA,,,59.00,230,13570.0,,13570.0,,0,50,2463_Melanoma-Cell-Line,MISC -20oC BOX; MK Cells for the Broad Institute,Melanoma Cell Line
144 Imat B15-2,2464 Melanoma Cell Line,DNA,,,18.80,100,1880.0,,1880.0,,0,50,,MISC -20oC BOX; MK Cells for the Broad Institute,Melanoma Cell Line
144aI WT,2465 Cell Line,DNA,,,206.00,15,3090.0,,3090.0,,0,50,2465_Cell-Line,,Melanoma Cell Line
230 WT,2466 Cell Line,DNA,,,536.00,15,8040.0,,8040.0,,0,50,2466_Cell-Line,,Melanoma Cell Line
ACL01,,DNA,2/22/2023,Qiagen DNeasy Blood & Tissue Kit,17.20,140,2408.0,,2408.0,,0,50,,3mm punch biopsy,"Mutation Burden in Normal Skin,Willed Body Program"
ACL03,,DNA,2/22/2023,Qiagen DNeasy Blood & Tissue Kit,16.10,140,2254.0,,2254.0,,0,50,,3mm punch biopsy,"Mutation Burden in Normal Skin,Willed Body Program"
ACL05,,DNA,2/22/2023,Qiagen DNeasy Blood & Tissue Kit,12.10,140,1694.0,,1694.0,,0,50,,3mm punch biopsy,"Mutation Burden in Normal Skin,Willed Body Program"
ACL06,,DNA,2/22/2023,Qiagen DNeasy Blood & Tissue Kit,20.30,140,2842.0,,2842.0,,0,50,,3mm punch biopsy,"Mutation Burden in Normal Skin,Willed Body Program"
AF13_212_NA,,DNA,7/30/2012,,,,0.0,,0.0,71.4,Infinity,-Infinity,AF13_212,,2010-2017
Algazi_Tumor_NA,,,,,,,0.0,,0.0,40.7,Infinity,-Infinity,Algazi_Tumor,,2010-2017
ALK_Cntl_NA,,DNA,,,,,0.0,,0.0,100.0,Infinity,-Infinity,ALK_Cntl,,2010-2017
AM_7_Tumor_NA,2775 Tumor,DNA,8/15/2013,,,,0.0,,0.0,100.0,Infinity,-Infinity,AM_7_Tumor,,Acral Melanoma
AM_9_Tumor_NA,2776 Tumor,DNA,8/15/2013,,,,0.0,,0.0,67.4,Infinity,-Infinity,AM_9_Tumor,,Acral Melanoma
AM_11_Tumor_NA,2772 Tumor,DNA,8/15/2013,,,,0.0,,0.0,100.0,Infinity,-Infinity,AM_11_Tumor,,Acral Melanoma
AM_13_Tumor_NA,2773 Tumor,DNA,8/15/2013,,,,0.0,,0.0,100.0,Infinity,-Infinity,AM_13_Tumor,,Acral Melanoma
AM_14_Tumor_NA,2774 Tumor,DNA,8/15/2013,,,,0.0,,0.0,100.0,Infinity,-Infinity,AM_14_Tumor,,Acral Melanoma
AM2 D-01,49 Normal,DNA,,,0.39,90,35.0,,35.0,,0,50,,,Acral Melanoma
AM2 D-02,50 MIS1,DNA,,,0.12,90,10.6,,10.6,,0,50,,,Acral Melanoma
AM2 D-03,51 Mel1,DNA,,,0.76,90,68.5,,68.5,,0,50,AMLP-144,,Acral Melanoma
AM2 D-04,52 Normal,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-05,53 Nevus,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-06,54 MIS1,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-07,55 MIS2,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-08,56 MIS3,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-09,57 Mel1,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-10,58 Normal,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-11,59 MIS1,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-12,60 MIS2,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-13,61 Mel1,DNA,,,0.00,0,0.0,,0.0,,NaN,NaN,,,Acral Melanoma
AM2 D-14,62 Normal,DNA,,,0.09,90,8.3,,8.3,,0,50,,,Acral Melanoma
AM2 D-15,63 MIS1,DNA,,,0.11,90,10.3,,10.3,,0,50,,,Acral Melanoma
AM2 D-16,64 Mel1,DNA,,,0.54,90,48.9,,48.9,,0,50,,,Acral Melanoma
AM2 D-17,65 Normal,DNA,,,0.09,90,7.9,,7.9,,0,50,,,Acral Melanoma
AM2 D-18,66 MIS1,DNA,,,0.05,90,4.9,,4.9,,0,50,,,Acral Melanoma
AM2 D-19,67 Mel1,DNA,,,1.58,90,142.2,,142.2,,0,50,,,Acral Melanoma
AM2 D-20,68 Normal,DNA,,,0.17,90,14.9,,14.9,,0,50,,,Acral Melanoma
AM2 D-21,69 MIS1,DNA,,,0.48,90,43.5,,43.5,43.0,89,-39,AMLP-217,,Acral Melanoma
AM2 D-22,70 MIS2,DNA,,,0.31,90,28.2,,28.2,28.0,89,-39,AMLP-218,,Acral Melanoma
AM2 D-23,71 Mel1,DNA,,,0.68,90,61.5,,61.5,62.0,91,-41,AMLP-219,,Acral Melanoma
AM2 D-24,72 Normal,DNA,,,2.40,50,120.0,,120.0,,0,50,AMLP-199,,Acral Melanoma
AM2 D-25,73 MIS1,DNA,,,0.10,90,9.3,,9.3,,0,50,,,Acral Melanoma
AM2 D-26,74 MIS2,DNA,,,1.11,90,99.9,,99.9,100.0,90,-40,AMLP-200,,Acral Melanoma
AM2 D-27,75 MIS3,DNA,,,2.85,90,256.5,,256.5,129.0,45,5,AMLP-201,,Acral Melanoma
AM2 D-28,76 Mel1,DNA,,,3.01,90,270.9,,270.9,271.0,90,-40,"AMLP-145,AMLP-202",,Acral Melanoma
AM2 D-29,77 Mel2,DNA,,,4.63,90,416.7,,416.7,,0,50,"AMLP-146,AMLP-203",,Acral Melanoma
AM2 D-30,78 Normal,DNA,,,35.30,90,3177.0,,3177.0,250.0,7,43,"AMLP-19_1,AMLP-19_2",,Acral Melanoma
AM2 D-31,79 MIS1,DNA,,,7.78,90,700.2,,700.2,,0,50,AMLP-152,,Acral Melanoma
AM2 D-32,80 MIS2,DNA,,,4.00,90,360.0,,360.0,,0,50,AMLP-153,,Acral Melanoma
