sample_lib,CL,SeqL,SeqRun,,
AMLP-40,,,BCB040,,
AMLP-42,,,BCB040,,
AMLP-43,,,BCB054,,
CGH11-275,,,Nimblegen31_BB36,,
CGH11-399,,,Nimblegen31_BB36,,
CGH11-402,,,Nimblegen31_BB36,,
DM11-Tert-Amplicon,,,Nimblegen45_BB55,,
DM14-Tert-Amplicon,,,Nimblegen45_BB55,,
DM1-Tert-Amplicon,,,Nimblegen44_BB54,,
DM2-Tert-Amplicon,,,Nimblegen44_BB54,,
DM8Tumor,,,Nimblegen10_BB13,,
DPN54-Tumor,,,Kapa14_BB87,,
DPN59-Tumor,,,Kapa14_BB87,,
JJS10_Mel,,,Hunter_RNAseq,,
JJS10_Nev,,,Hunter_RNAseq,,
JJS12_Mel,,,Hunter_RNAseq,,
JJS12_Nev,,,Hunter_RNAseq,,
JJS18_Mel,,,Hunter_RNAseq,,
JJS18_Nev,,,Hunter_RNAseq,,
JJS19_Mel,,,Hunter_RNAseq,,
JJS19_Nev,,,Hunter_RNAseq,,
JJS20_Mel,,,Hunter_RNAseq,,
JJS20_Nev,,,Hunter_RNAseq,,
JJS21_Mel,,,Hunter_RNAseq,,
JJS21_Nev,,,Hunter_RNAseq,,
JJS22_Mel,,,Hunter_RNAseq,,
JJS22_Nev,,,Hunter_RNAseq,,
JJS23_Mel,,,Hunter_RNAseq,,
JJS23_Nev,,,Hunter_RNAseq,,
JJS25_Mel,,,Hunter_RNAseq,,
JJS25_Nev,,,Hunter_RNAseq,,
JJS26_Mel,,,Hunter_RNAseq,,
JJS26_Nev,,,Hunter_RNAseq,,
JJS27_Mel,,,Hunter_RNAseq,,
JJS27_Nev,,,Hunter_RNAseq,,
JJS28_Mel,,,Hunter_RNAseq,,
JJS28_Nev,,,Hunter_RNAseq,,
JJS3_Nev,,,Hunter_RNAseq,,
JJS5_Mel,,,Hunter_RNAseq,,
JJS5_Nev,,,Hunter_RNAseq,,
KAM100-normal,,,Exome_IY1,,
KAM100-normal_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM100-tumor_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM102-T-B,,,Kapa12_BB85,,
KAM10-normal,,,Exome_IY1,,
KAM10-normal_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM10-Tumor_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM111-normal,,,Exome_IY1,,
KAM111-normal_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM111-tumor_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM113-T-H,,,Kapa12_BB85,,
KAM116-T,,,Kapa12_BB85,,
KAM122-T-A,,,Kapa12_BB85,,
KAM123-T,,,Kapa12_BB85,,
KAM12-T,,,Kapa15_BB88,,
KAM75-T,,,Kapa9_BB82,,
KAM93-normal,,,Exome_IY1,,
KAM93-normal_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM93-tumor_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM99-normal,,,Exome_IY1,,
KAM99-normal_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
KAM99-tumor_kapa-NGv3-PE100-NGv3-ready,,,Exome_IY1,,
Sk-Mel-23,,,RNAaccess3_BB78,,
UM_1,,,Nimblegen38_BB45,,
UM_2,,,Nimblegen38_BB45,,
