,Unnamed: 0,SampleName,SequencingRun_or_FolderName,Read1_Name,Read1_checksum,Read1_Count,Read2_Name,Read2_checksum,Read2_Count,PairEnd_ReadCount_Equal?,Fastq_PATH,r1_zip,r2_zip,r1_key1,r1_r2_
0,0,1205lu-1,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,1205lu-1_R1_001.fastq.gz,018720d891d49d4196a8be1a178cf031,44820113,1205lu-1_R2_001.fastq.gz,93d5089270c77a3d051fb82f02f2097b,44820113,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'1205lu-1_R1_001.fastq.gz': '018720d891d49d4196a8be1a178cf031'},{'1205lu-1_R2_001.fastq.gz': '93d5089270c77a3d051fb82f02f2097b'},1205lu-1_R1_001.fastq.gz,"{'1205lu-1_R1_001.fastq.gz': '018720d891d49d4196a8be1a178cf031', '1205lu-1_R2_001.fastq.gz': '93d5089270c77a3d051fb82f02f2097b'}"
1,1,1205lu-2,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,1205lu-2_R1_001.fastq.gz,1aa730b858c1fe21704d6542e0c6092b,37941905,1205lu-2_R2_001.fastq.gz,b397d3c3646c0ac8c42a5478677c2cea,37941905,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'1205lu-2_R1_001.fastq.gz': '1aa730b858c1fe21704d6542e0c6092b'},{'1205lu-2_R2_001.fastq.gz': 'b397d3c3646c0ac8c42a5478677c2cea'},1205lu-2_R1_001.fastq.gz,"{'1205lu-2_R1_001.fastq.gz': '1aa730b858c1fe21704d6542e0c6092b', '1205lu-2_R2_001.fastq.gz': 'b397d3c3646c0ac8c42a5478677c2cea'}"
2,2,1205LU-3,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,1205LU-3_R1_001.fastq.gz,095d42a1b07fd983c4bbb73a12d4d969,43661129,1205LU-3_R2_001.fastq.gz,bd6f24d1660122fe8aca67830dab93e3,43661129,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'1205LU-3_R1_001.fastq.gz': '095d42a1b07fd983c4bbb73a12d4d969'},{'1205LU-3_R2_001.fastq.gz': 'bd6f24d1660122fe8aca67830dab93e3'},1205LU-3_R1_001.fastq.gz,"{'1205LU-3_R1_001.fastq.gz': '095d42a1b07fd983c4bbb73a12d4d969', '1205LU-3_R2_001.fastq.gz': 'bd6f24d1660122fe8aca67830dab93e3'}"
3,3,144a-1,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,144a-1_R1_001.fastq.gz,4fae74ce8e03621cda2f91fb726b956e,42367220,144a-1_R2_001.fastq.gz,8f50adbcfee575fd11e979e8bc84d2d2,42367220,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'144a-1_R1_001.fastq.gz': '4fae74ce8e03621cda2f91fb726b956e'},{'144a-1_R2_001.fastq.gz': '8f50adbcfee575fd11e979e8bc84d2d2'},144a-1_R1_001.fastq.gz,"{'144a-1_R1_001.fastq.gz': '4fae74ce8e03621cda2f91fb726b956e', '144a-1_R2_001.fastq.gz': '8f50adbcfee575fd11e979e8bc84d2d2'}"
4,4,144a-2,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,144a-2_R1_001.fastq.gz,9b8442d8a4fdc40d16b5641af554ee9b,36470962,144a-2_R2_001.fastq.gz,08c1419c2e04fdd00b304f6e6236f786,36470962,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'144a-2_R1_001.fastq.gz': '9b8442d8a4fdc40d16b5641af554ee9b'},{'144a-2_R2_001.fastq.gz': '08c1419c2e04fdd00b304f6e6236f786'},144a-2_R1_001.fastq.gz,"{'144a-2_R1_001.fastq.gz': '9b8442d8a4fdc40d16b5641af554ee9b', '144a-2_R2_001.fastq.gz': '08c1419c2e04fdd00b304f6e6236f786'}"
5,5,144a-3,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,144a-3_R1_001.fastq.gz,30c8cd786388008d0b049f451cbeed9d,41116125,144a-3_R2_001.fastq.gz,492d7c6411ab58e063b3ad4a62f19439,41116125,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'144a-3_R1_001.fastq.gz': '30c8cd786388008d0b049f451cbeed9d'},{'144a-3_R2_001.fastq.gz': '492d7c6411ab58e063b3ad4a62f19439'},144a-3_R1_001.fastq.gz,"{'144a-3_R1_001.fastq.gz': '30c8cd786388008d0b049f451cbeed9d', '144a-3_R2_001.fastq.gz': '492d7c6411ab58e063b3ad4a62f19439'}"
6,6,27a-1,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,27a-1_R1_001.fastq.gz,9f609bc275d3fcab23607398e3ece234,43573928,27a-1_R2_001.fastq.gz,15c47700b584cc744311200abe2dd53b,43573928,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'27a-1_R1_001.fastq.gz': '9f609bc275d3fcab23607398e3ece234'},{'27a-1_R2_001.fastq.gz': '15c47700b584cc744311200abe2dd53b'},27a-1_R1_001.fastq.gz,"{'27a-1_R1_001.fastq.gz': '9f609bc275d3fcab23607398e3ece234', '27a-1_R2_001.fastq.gz': '15c47700b584cc744311200abe2dd53b'}"
7,7,27a-2,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,27a-2_R1_001.fastq.gz,3a0154fccdf2f5c59ea222f9ab601bdf,39876218,27a-2_R2_001.fastq.gz,02b4fc19f6981b4a2a3f0f8b885ef9dc,39876218,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'27a-2_R1_001.fastq.gz': '3a0154fccdf2f5c59ea222f9ab601bdf'},{'27a-2_R2_001.fastq.gz': '02b4fc19f6981b4a2a3f0f8b885ef9dc'},27a-2_R1_001.fastq.gz,"{'27a-2_R1_001.fastq.gz': '3a0154fccdf2f5c59ea222f9ab601bdf', '27a-2_R2_001.fastq.gz': '02b4fc19f6981b4a2a3f0f8b885ef9dc'}"
8,8,27a-3,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,27a-3_R1_001.fastq.gz,d3efaf882456448ca6367d71999bee77,44729286,27a-3_R2_001.fastq.gz,0d3d4911bca7f8fc15cae6bfef677868,44729286,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'27a-3_R1_001.fastq.gz': 'd3efaf882456448ca6367d71999bee77'},{'27a-3_R2_001.fastq.gz': '0d3d4911bca7f8fc15cae6bfef677868'},27a-3_R1_001.fastq.gz,"{'27a-3_R1_001.fastq.gz': 'd3efaf882456448ca6367d71999bee77', '27a-3_R2_001.fastq.gz': '0d3d4911bca7f8fc15cae6bfef677868'}"
9,9,30I-1,Acral_melenoma_lines_mRNA_Seq_AL1806051_R1,30I-1_R1_001.fastq.gz,92294ee1f5aa41bfef641ad89ee31a54,39268253,30I-1_R2_001.fastq.gz,e7d8899cbff17029f429f297ebe5f379,39268253,Yes,HiSeqData/Acral_melenoma_lines_mRNA_Seq_AL1806051_R1/Fastq,{'30I-1_R1_001.fastq.gz': '92294ee1f5aa41bfef641ad89ee31a54'},{'30I-1_R2_001.fastq.gz': 'e7d8899cbff17029f429f297ebe5f379'},30I-1_R1_001.fastq.gz,"{'30I-1_R1_001.fastq.gz': '92294ee1f5aa41bfef641ad89ee31a54', '30I-1_R2_001.fastq.gz': 'e7d8899cbff17029f429f297ebe5f379'}"
