sample_lib,Block,Input Conc.,captured_lib,Bait,sequencing_lib,sequencing_run,fastq_file,fastq_path,bam_bai_file,bam_file,bam_bai_file_path,bam_file_path,matching_normal_sl,area_type
1,12-6261A,512,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Melanocytic Nevus
2,12-6261B,210,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Melanocytic Nevus
6,12-12366,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
7,12-12467,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Melanocytic Nevus
11,12-12470D,480,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,BCC
13,12-562,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Tumor
15,12-12647,330,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Melanocytic Nevus
20,12-12626,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Cellular Dermatofibroma 
23,12-13587B2,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
24,12-18438A,400,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,"SCC, in situ"
27,12-13152,554,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Melanocytic Nevus
28,12-12750B,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
29,12-19596,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,"SCC, in situ"
31,12-19187A,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Dermatofibroma
35,12-22172,371,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Normal
36,12-22172,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,35,Tumor
38,12-21726A,157,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Tumor
39,12-22901A,497,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Normal
40,12-22901A,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,39,Tumor
41,12-22776B5,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Normal
43,BuffyCoat,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Buffy Coat DNA
44,12-13587B2,750,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,Buffy Coat DNA
45,12-13587B2,500,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
46,12-13587B2,250,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
43,BuffyCoat,1000,BB2_CL,Agilent?,BB2_SeqL,HiSeq1_BB2,,,,,,,,SCC
47,12-22775,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,SCC
48,12-22794A,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Mel
49,12-22573,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
51,12-22582A,444,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
55,12-22587,773,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
56,12-22592,670,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Keratosis
58,12-22597,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
59,12-22602A,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
60,12-22602B,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
61,12-22603,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,"Pilomatricoma, cystic"
62,12-22604,278,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
64,12-22720A1,370,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Leiomyoma
65,12-22868,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
66,12-22884C,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
67,12-22884D,208,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
68,12-22886,1000,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
70,12-22894B,303,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
71,12-22898,981,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,Melanocytic Nevus
72,12-22900,604,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,SCC
73,12-22597,700,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
74,12-22597,500,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
75,12-22597,250,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
76,12-22597,100,BB3_CL,Agilent?,BB3_SeqL,HiSeq2_BB3,,,,,,,,BCC
1212,,,BB71_CL,NimV2mix3,BB71_SeqL,BioSci19_BB71,"{'1212_CGATGT_L001_R1_001.fastq.gz': '06828e13c469a55acb646bfaf237484a', '1212_CGATGT_L001_R1_002.fastq.gz': '59057ad7adba9b01123360937d870db3', '1212_CGATGT_L001_R1_003.fastq.gz': '533316525ebafd3fe03424eec2f58505', '1212_CGATGT_L001_R1_004.fastq.gz': 'a6c609b6e239975bcdf29025c6e42638', '1212_CGATGT_L001_R2_001.fastq.gz': '37e87762c5f9ec69f176b9dee5c36a80', '1212_CGATGT_L001_R2_002.fastq.gz': '55b8d3dda101aa0cbb4f332548bf0d11', '1212_CGATGT_L001_R2_003.fastq.gz': 'dc50b0a2798d536572c067c61fac51a0', '1212_CGATGT_L001_R2_004.fastq.gz': 'c02d409bdaf41747cc18817dd909265c', '1212_CGATGT_L002_R1_001.fastq.gz': '69a1ec1ee7a5af238e89135037937b34', '1212_CGATGT_L002_R1_002.fastq.gz': '93920354693fc6d2d5658f8c0333ab20', '1212_CGATGT_L002_R1_003.fastq.gz': 'eb623964c57e343f44883d5fed505d24', '1212_CGATGT_L002_R1_004.fastq.gz': '3ef43652af77cfa02d8d39bc6f831dcc', '1212_CGATGT_L002_R2_001.fastq.gz': 'd9ec0b12d984b7578f0278de91c42faf', '1212_CGATGT_L002_R2_002.fastq.gz': '5f1f3d15b56827e63bd2f3985586d2aa', '1212_CGATGT_L002_R2_003.fastq.gz': 'd84d03dbdc4130f9c228c615668770f7', '1212_CGATGT_L002_R2_004.fastq.gz': '0682403005e3b7d6d512e31dab9523db'}",HiSeqData/BioSci19_BB71/Project_bastianb-BB71/Sample_1212,,,,,,Tumor
1213,,,BB71_CL,NimV2mix3,BB71_SeqL,BioSci19_BB71,"{'1213_TGACCA_L001_R1_001.fastq.gz': 'b94ca7e20697e54bd05d74fc7b8c8bb7', '1213_TGACCA_L001_R1_002.fastq.gz': '0d0df2a504c02314fddcb1e650e9adf0', '1213_TGACCA_L001_R1_003.fastq.gz': 'f46b8e6067898c23cf455218b6e13c2a', '1213_TGACCA_L001_R1_004.fastq.gz': 'e7b817152207c3134a243e5b7eacfcad', '1213_TGACCA_L001_R2_001.fastq.gz': 'bb810eac122c6afe5b483ee636954125', '1213_TGACCA_L001_R2_002.fastq.gz': '0fb7761e23434a19e912abd0adaa6c9e', '1213_TGACCA_L001_R2_003.fastq.gz': '6e16734816f464d221d712522ffdb612', '1213_TGACCA_L001_R2_004.fastq.gz': 'e0c2f23873e12887631f40f2bc2395a5', '1213_TGACCA_L002_R1_001.fastq.gz': '390da10510e64f695611e606759743d3', '1213_TGACCA_L002_R1_002.fastq.gz': '0540d75809d21399b57e638fa6e672c3', '1213_TGACCA_L002_R1_003.fastq.gz': '2a142206b2dc1944d73c3a270ca5f48c', '1213_TGACCA_L002_R1_004.fastq.gz': '59962601b914f948888777d3c4f309dc', '1213_TGACCA_L002_R2_001.fastq.gz': '20a57cca34d3199d85fbe612f6e81b98', '1213_TGACCA_L002_R2_002.fastq.gz': '8b6b9f0b8181aebeedc8e8aaca15f4e7', '1213_TGACCA_L002_R2_003.fastq.gz': 'c9c68096ebd5d071e580311093495fc6', '1213_TGACCA_L002_R2_004.fastq.gz': '47d8eea188a431605214cd15c147e857'}",HiSeqData/BioSci19_BB71/Project_bastianb-BB71/Sample_1213,,,,,,Tumor
1214,,,BB71_CL,NimV2mix3,BB71_SeqL,BioSci19_BB71,"{'1214_ACAGTG_L001_R1_001.fastq.gz': '479b3ae71de5f352ad96cafaab741d3c', '1214_ACAGTG_L001_R1_002.fastq.gz': '81111ead7c47065eb2d9e3f218447bcb', '1214_ACAGTG_L001_R1_003.fastq.gz': 'db94d8e42fcaf7c429bd8e7c67f1832d', '1214_ACAGTG_L001_R2_001.fastq.gz': '8543f7e7c2867c8ff52623477bdb9285', '1214_ACAGTG_L001_R2_002.fastq.gz': 'a1bfdb56fe5736c683d8423465fa30d3', '1214_ACAGTG_L001_R2_003.fastq.gz': '91f1ed32cb1aa11ab91c148a85ed4286', '1214_ACAGTG_L002_R1_001.fastq.gz': '4e6ec0eaccd19c4192d407873793f7e9', '1214_ACAGTG_L002_R1_002.fastq.gz': '4e404cf943c4a1b83e004d14e135fb8b', '1214_ACAGTG_L002_R1_003.fastq.gz': 'f9a85a0c6ca2e49ca7c5d18632e6b38f', '1214_ACAGTG_L002_R2_001.fastq.gz': '5098e2847006df2c8e766763e0637b3c', '1214_ACAGTG_L002_R2_002.fastq.gz': 'ec5371141bcc4d4fc42bfdc07429d636', '1214_ACAGTG_L002_R2_003.fastq.gz': '69e7e438e7582ed5cd28e32f34f9805a'}",HiSeqData/BioSci19_BB71/Project_bastianb-BB71/Sample_1214,,,,,,Tumor
3860,,,BB71_CL,NimV2mix3,BB71_SeqL,BioSci19_BB71,"{'3860_GCCAAT_L001_R1_001.fastq.gz': 'f7901fdb6f9415f6ca83e33d24e86ca8', '3860_GCCAAT_L001_R1_002.fastq.gz': 'ddd3b2b41e6765a71546b9d57ee56d4d', '3860_GCCAAT_L001_R1_003.fastq.gz': 'ce3d10a8b84ae158fa00f7eb24eba1dc', '3860_GCCAAT_L001_R1_004.fastq.gz': 'e31cca48aa1f258318bf06313474a3b6', '3860_GCCAAT_L001_R2_001.fastq.gz': '9d4386ef59e68a6b5d546ab9060fb712', '3860_GCCAAT_L001_R2_002.fastq.gz': '43bce4c80f589902d674db5cabcd434b', '3860_GCCAAT_L001_R2_003.fastq.gz': '69a5dfe76e3fb75d712703039f9bb0a3', '3860_GCCAAT_L001_R2_004.fastq.gz': 'ce25218c016c65aa34cc10992fe75533', '3860_GCCAAT_L002_R1_001.fastq.gz': 'e37e663ce4148fdcbbf6bfd27fe5c2fb', '3860_GCCAAT_L002_R1_002.fastq.gz': '4e0376b365df03dbd1ec230fa6c70338', '3860_GCCAAT_L002_R1_003.fastq.gz': 'd37c8bc950a17ab079f5ac22fe3e79e9', '3860_GCCAAT_L002_R1_004.fastq.gz': '5f70c80d4da016389db5c05a5389168a', '3860_GCCAAT_L002_R2_001.fastq.gz': '51557fe219baa0aa183875db24b6845d', '3860_GCCAAT_L002_R2_002.fastq.gz': 'a57775df4ec8fa4500b820a7c08da25f', '3860_GCCAAT_L002_R2_003.fastq.gz': 'a76557079ebf5f47437985fafd031bef', '3860_GCCAAT_L002_R2_004.fastq.gz': 'aa8d1412229a65d3f7d736eefee475d9'}",HiSeqData/BioSci19_BB71/Project_bastianb-BB71/Sample_3860,,,,,,Tumor
12_M,,,BB34_CL,Ampliconseq,BB34_SeqL,Nimblegen29_BB34,"{'12_M_GTGTTA_L001_R1_001.fastq.gz': '', '12_M_GTGTTA_L001_R2_001.fastq.gz': ''}",HiSeqData/Nimblegen29_BB34/Project_BastianLab-BB34/Sample_12_M,,,,,,Tumor
14-18,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
14-18,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
14-19,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
14-19,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
14-21,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
14-21,,,BB26_CL,NimV2mix3,BB26_SeqL,Clinical1_BB26,,,,,,,,Tumor
1641_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1641_Mel.bai': ''},{'1641_Mel.bam': '7b95b58e3a2f54df573eaaf1cbb14958'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1641_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1641_Mel/v1,1949_1956_Normal,Mel
1917_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1917_Mel.bai': ''},{'1917_Mel.bam': '2cd61484e1f20acacd051b21327094fb'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1917_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1917_Mel/v1,2036_Normal,Mel
1918_MIS,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1918_MIS.bai': ''},{'1918_MIS.bam': 'b4fe12f610ce0d5c82baf0c8b84a74b0'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1918_MIS/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1918_MIS/v1,2036_Normal,MIS
1919_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1919_Nevus.bai': ''},{'1919_Nevus.bam': '141ea3d6268466932a449ae76d4a92ae'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1919_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1919_Nevus/v1,2036_Normal,Nevus
1921_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1921_Mel.bai': ''},{'1921_Mel.bam': '2c252218739610d63279bc0dc762236d'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1921_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1921_Mel/v1,1955_Normal,Mel
1922_Nevus,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1922_Nevus.bai': ''},{'1922_Nevus.bam': 'd661c93eead52bff5bb4836530fd8128'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1922_Nevus/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1922_Nevus/v1,1955_Normal,Nevus
1926_Mel,,,BI-112022,Somatic Human WES v6,,BCB041,,,{'1926_Mel.bai': ''},{'1926_Mel.bam': '4525f1a6677978dd4a262c81002b8c8b'},HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1926_Mel/v1,HiSeqData/BCB041_BroadInstitute_WES/Nov2022/RP-2761/Exome/1926_Mel/v1,1958_Normal,Mel
